DateTime,Daily News Sentiment
1/1/2020 0:00,-0.5
1/6/2020 0:00,-0.699999988
1/7/2020 0:00,-0.699999988
1/8/2020 0:00,-0.350000013
1/9/2020 0:00,-0.250000004
1/13/2020 0:00,-0.200000003
1/16/2020 0:00,-0.200000003
1/19/2020 0:00,0.300000012
1/22/2020 0:00,0.100000001
1/24/2020 0:00,-0.400000006
1/28/2020 0:00,0.699999988
1/29/2020 0:00,-0.300000012
1/31/2020 0:00,-0.699999988
2/3/2020 0:00,-0.699999988
2/5/2020 0:00,0.100000001
2/6/2020 0:00,0.200000003
2/10/2020 0:00,-0.400000006
2/13/2020 0:00,-0.300000012
2/16/2020 0:00,0.800000012
2/23/2020 0:00,-0.150000002
2/26/2020 0:00,-0.300000001
2/28/2020 0:00,-0.300000012
3/3/2020 0:00,0.300000012
3/4/2020 0:00,-0.166666667
3/11/2020 0:00,-0.5
3/21/2020 0:00,-0.600000024
3/24/2020 0:00,-0.800000012
4/9/2020 0:00,-0.600000024
4/13/2020 0:00,-0.300000012
4/16/2020 0:00,0.100000009
4/17/2020 0:00,-0.100000001
4/28/2020 0:00,0.699999988
5/1/2020 0:00,-0.300000012
5/2/2020 0:00,-0.5
5/12/2020 0:00,-0.200000003
5/13/2020 0:00,-0.400000006
5/20/2020 0:00,-0.5
5/31/2020 0:00,-0.100000001
6/1/2020 0:00,0.200000003
6/11/2020 0:00,-0.300000012
6/12/2020 0:00,0.300000012
6/17/2020 0:00,-0.600000024
6/18/2020 0:00,-0.100000001
6/23/2020 0:00,-0.033333331
6/24/2020 0:00,0.100000001
6/30/2020 0:00,-0.600000024
7/17/2020 0:00,-0.450000018
7/20/2020 0:00,-0.100000001
7/23/2020 0:00,0.5
7/24/2020 0:00,-0.100000001
7/26/2020 0:00,-0.100000001
7/31/2020 0:00,-0.800000012
8/1/2020 0:00,-0.699999988
8/2/2020 0:00,-0.633333325
8/4/2020 0:00,-0.699999988
8/6/2020 0:00,-0.200000003
8/7/2020 0:00,-0.300000004
8/10/2020 0:00,-0.200000003
8/11/2020 0:00,-0.600000009
8/13/2020 0:00,-0.300000012
8/24/2020 0:00,-0.300000012
9/23/2020 0:00,-0.5
9/28/2020 0:00,-0.050000001
9/29/2020 0:00,0.150000004
10/8/2020 0:00,0.400000006
10/15/2020 0:00,0.300000012
10/22/2020 0:00,-0.060000001
10/25/2020 0:00,-0.100000001
10/28/2020 0:00,-0.100000005
10/29/2020 0:00,0.100000001
11/4/2020 0:00,0.300000012
11/10/2020 0:00,0.300000012
11/11/2020 0:00,0.100000001
11/18/2020 0:00,-0.200000003
11/19/2020 0:00,0.250000004
11/28/2020 0:00,-0.5
11/30/2020 0:00,-0.300000012
12/4/2020 0:00,-0.100000001
12/8/2020 0:00,-0.050000001
12/9/2020 0:00,-0.500000015
12/11/2020 0:00,-0.250000004
12/14/2020 0:00,-0.133333335
12/16/2020 0:00,0.200000003
12/18/2020 0:00,-0.100000001
12/23/2020 0:00,-0.300000012
12/29/2020 0:00,0.200000003
12/31/2020 0:00,-0.400000006
