Date,Daily.News.Sentiment
1/1/2020 0:00,-0.699999988
1/18/2020 0:00,0.100000001
1/21/2020 0:00,-0.400000006
1/22/2020 0:00,-0.200000003
1/23/2020 0:00,-0.5
1/24/2020 0:00,-0.300000012
1/27/2020 0:00,0.300000012
1/30/2020 0:00,-0.699999988
1/31/2020 0:00,-0.200000003
2/5/2020 0:00,-0.066666668
2/8/2020 0:00,-0.600000024
2/10/2020 0:00,-0.5
2/11/2020 0:00,-0.200000007
2/12/2020 0:00,-0.300000007
2/13/2020 0:00,-0.520000005
2/14/2020 0:00,-0.300000012
2/17/2020 0:00,-0.100000001
2/19/2020 0:00,-0.450000018
2/27/2020 0:00,0.300000012
2/28/2020 0:00,-0.466666669
3/4/2020 0:00,-0.300000012
3/5/2020 0:00,-0.699999988
3/7/2020 0:00,-0.200000003
3/18/2020 0:00,0.100000001
3/24/2020 0:00,0.100000001
3/26/2020 0:00,-0.350000009
3/29/2020 0:00,-0.300000012
3/31/2020 0:00,0.200000003
4/5/2020 0:00,0.200000003
4/6/2020 0:00,0.100000001
4/8/2020 0:00,-0.200000003
4/19/2020 0:00,-0.300000012
4/20/2020 0:00,-0.100000001
4/28/2020 0:00,-0.250000011
5/1/2020 0:00,-0.699999988
5/8/2020 0:00,-0.5
5/13/2020 0:00,0.100000001
5/16/2020 0:00,0.100000001
5/22/2020 0:00,0.300000012
5/27/2020 0:00,-0.5
6/8/2020 0:00,-0.140000004
6/15/2020 0:00,-0.300000011
6/16/2020 0:00,-0.699999988
6/24/2020 0:00,0.200000003
6/28/2020 0:00,-0.699999988
6/29/2020 0:00,-0.200000003
6/30/2020 0:00,-0.100000001
7/1/2020 0:00,0.100000001
7/5/2020 0:00,-0.300000012
7/6/2020 0:00,-0.250000004
7/7/2020 0:00,0.100000001
7/16/2020 0:00,-0.400000006
7/19/2020 0:00,-0.800000012
7/20/2020 0:00,-0.300000012
7/21/2020 0:00,0.150000002
7/28/2020 0:00,-0.300000007
7/30/2020 0:00,-0.100000001
7/31/2020 0:00,-0.399999995
8/4/2020 0:00,-0.280000001
8/5/2020 0:00,0.019999999
8/6/2020 0:00,-0.333333331
8/10/2020 0:00,0.800000012
8/12/2020 0:00,-0.100000001
8/14/2020 0:00,-0.400000006
8/18/2020 0:00,0.200000003
8/19/2020 0:00,0.300000012
8/22/2020 0:00,-0.100000001
8/23/2020 0:00,0.100000001
8/24/2020 0:00,0.300000012
8/25/2020 0:00,0.100000001
8/31/2020 0:00,-0.200000003
9/16/2020 0:00,-0.100000001
9/17/2020 0:00,-0.400000006
9/20/2020 0:00,-0.049999997
9/21/2020 0:00,-0.300000001
9/25/2020 0:00,-0.300000012
9/28/2020 0:00,-0.333333341
9/29/2020 0:00,-0.300000012
10/17/2020 0:00,-0.350000001
10/18/2020 0:00,0.300000012
10/25/2020 0:00,-0.174999995
10/27/2020 0:00,-0.200000003
10/28/2020 0:00,-0.400000009
11/24/2020 0:00,-0.5
11/25/2020 0:00,-0.200000003
11/27/2020 0:00,-0.400000006
12/1/2020 0:00,0.200000003
12/2/2020 0:00,0.100000001
12/4/2020 0:00,-0.200000003
12/5/2020 0:00,-0.300000012
12/9/2020 0:00,0.200000005
12/11/2020 0:00,-0.100000001
12/15/2020 0:00,-0.5
12/16/2020 0:00,-0.350000005
12/17/2020 0:00,0.166666674
12/19/2020 0:00,0.100000001
12/20/2020 0:00,-0.200000003
12/21/2020 0:00,-0.166666672
12/25/2020 0:00,0.050000001
12/26/2020 0:00,-0.300000006
12/28/2020 0:00,-0.200000003
12/30/2020 0:00,-0.333333328
12/31/2020 0:00,0
